"","Country","CountryCode","mean_feeling_of_happiness","mean_life_satisfaction","mean_financial_satisfaction","Year","gdp","Number_below_$3.65_a_day","Number_below_$6.85_a_day","Number_below_$10_a_day","total_population","Region","Latitude","Longitude","Length","Area"
"512","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2007",5976.39414454596,"3453","42338","129061",615875,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"513","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2006",4425.67887307803,"6573","66556","197673",615025,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"514","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2017",7803.41113682269,"43735","107298","179304",622373,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"515","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2016",7033.60489868635,"36977","107907","191032",622303,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"516","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2013",7189.29328653737,"15744","71085","179147",621207,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"517","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2010",6688.48239970574,"3290","35992","142881",619428,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"518","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2009",6727.10776676969,"3647","39710","106630",618294,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"519","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2012",6586.7212793222,"13253","60401","195139",620601,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"520","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2011",7328.93225247529,"6379","48550","153320",620079,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"521","Morocco","MAR",2.0378421900161,5.85909822866345,5.22946859903382,"1998",1491.13977050781,"8923723","19238670","23704791",27791825,"Middle East and North Africa",31.791702,-7.09262,56.1032566069788,62.4631664502859
